Model,MAE,MSE,RMSE,R2
LightGBM,1414.006560600926,9602003.804457242,3098.710022647689,0.9804162939897227
MAE-Weighted Ensemble,1431.535926646669,9605091.315160725,3099.2081755120494,0.9804099968768334
Stacking Hybrid Model,1434.744805847095,9962954.289535794,3156.41478413972,0.9796801197152694
CatBoost,1537.009926307997,10805800.973135192,3287.2178165030673,0.9779610971029594
